id,name,winningbid,metersread
300,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",699 Hours
301,2012 Cat 246C Two-Speed Skid Steer Loader,"US $26,500",634 Hours
302,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,500",710 Hours
303,2022 Cat 289D3 Two-Speed High Flow XPS Compact Track Loader,"US $78,000",686 Hours
304,Cat 140G Motor Grader,"US $44,000",NONE
305,2012 Cat 246C Two-Speed Skid Steer Loader,"US $24,500",875 Hours
306,2005 Cat 303 CR Mini Excavator,"US $18,500","4,742 Hours"
307,2017 Cat 305.5E2 CR Mini Excavator,"US $35,000","1,943 Hours"
308,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950","1,016 Hours"
309,2013 Cat 246C Skid Steer Loader,"US $11,000","4,977 Hours"
310,2012 Cat 246C Two-Speed Skid Steer Loader,"US $30,000",796 Hours
311,2022 Cat 289D3 Compact Track Loader,"US $84,000",169 Hours
312,2016 Cat 926M High Lift Wheel Loader,"US $67,500","10,843 Hours"
313,2019 Cat 262D Skid Steer Loader,"US $22,000","6,730 Hours"
314,2012 Cat 320E Tracked Excavator,"US $88,000","4,895 Hours"
315,1997 Cat 416C 4x4 Backhoe Loader,"US $26,500","2,305 Hours"
316,2004 Cat TH460B Telehandler,"US $31,000",NONE
317,2018 Cat 311F LRR Tracked Excavator,"US $70,000","2,217 Hours"
318,2009 Cat 928H Wheel Loader,"US $52,000","9,522 Hours"
319,2011 Cat 329DL Tracked Excavator,"US $60,000","5,670 Hours"
320,2020 Cat 262D3 Two-Speed Skid Steer Loader,"US $32,000","1,210 Hours"
321,2004 Cat 420DIT 4x4 Backhoe Loader,"US $30,000",577 Hours
322,1983 Cat V50C 5000 lb Cushion Tire Forklift,"US $2,500",NONE
323,2006 Cat CS533C Smooth Drum Compactor,"US $37,000","4,980 Hours"
324,2003 Cat 320CL Tracked Excavator,"US $59,000","7,707 Hours"
325,2006 Cat D6R XL Series III Crawler Dozer,"US $80,000","13,722 Hours"
326,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",768 Hours
327,2012 Cat 246C Two-Speed Skid Steer Loader,"US $27,950",758 Hours
328,2012 Cat 246C Two-Speed Skid Steer Loader,"US $32,500",575 Hours
329,2010 Cat 329DL Tracked Excavator,"US $52,000","12,752 Hours"
330,1993 Cat 140G Motor Grader,"US $55,000","16,805 Hours"
331,Cat 637G Motor Scraper,"US $65,000","52,545 Hours"
332,1993 Cat 963 Crawler Loader,"US $26,000","13,113 Hours"
333,2016 Cat 308E2 CR Mini Excavator,"US $65,000","1,885 Hours"
334,2012 Cat 246C Two-Speed Skid Steer Loader,"US $28,000",691 Hours
