id,name,winningbid,metersread
300,1995 Cat 325L Tracked Excavator,"US $27,000","13,207 Hours"
301,2018 Cat 323 Tracked Excavator,"US $91,000","5,749 Hours"
302,1987 Cat 235B Tracked Excavator,"US $2,000","9,941 Hours"
303,2016 Cat 336FL Tracked Excavator,"US $89,500","5,666 Hours"
304,2013 Cat 320E L Tracked Excavator,"US $80,000","8,515 Hours"
305,2015 Cat 349FL Tracked Excavator,"US $85,000","10,391 Hours"
306,2015 Cat 323FL Tracked Excavator,"US $72,000","7,959 Hours"
307,2013 Cat 336ELH Tracked Excavator,"US $29,500",NONE
308,2007 Cat 345CL Tracked Excavator,"US $28,500",NONE
309,2012 Cat 320E L Tracked Excavator,"US $69,000","12,471 Hours"
310,2019 Cat 349FL Tracked Excavator,"US $87,000","12,073 Hours"
311,2013 Cat 312EL Tracked Excavator,"US $33,000","1,631 Hours"
312,1993 Cat 325L Tracked Excavator,"US $35,000","7,853 Hours"
313,2006 Cat 345C Tracked Excavator,"US $41,500","16,357 Hours"
314,2015 Cat 305E2 CR Mini Excavator,"US $9,750",NONE
315,1999 Cat 345BL Tracked Excavator,"US $6,000","15,853 Hours"
316,Cat 325L Track Excavator,"US $25,000","14,600 Hours"
317,1992 Cat 235C Tracked Excavator,"US $2,200","23,435 Hours"
318,2012 Cat 374DL Tracked Excavator,"US $91,000","12,048 Hours"
319,Cat 330DL Tracked Excavator,"US $28,500","6,631 Hours"
320,1990 Cat EL300B Long Reach Tracked Excavator,"US $4,250",869 Hours
321,2000 Cat 325BL Tracked Excavator,"US $40,000","17,308 Hours"
322,2019 Cat 304E2CR Mini Excavator,"US $39,000","1,354 Hours"
323,2011 Cat 336EL Tracked Excavator,"US $76,000","9,662 Hours"
324,2006 Cat 330DL Tracked Excavator,"US $47,000","13,864 Hours"
325,2017 Cat 336FL Tracked Excavator,"US $80,000","7,159 Hours"
326,2010 Cat 345DL Tracked Excavator,"US $85,000","6,240 Hours"
327,2008 Cat 330DL Tracked Excavator,"US $47,000","14,024 Hours"
328,2014 Cat 349EL Tracked Excavator,"US $78,000","15,904 Hours"
329,2013 Cat 336EL Tracked Excavator,"US $33,100","8,835 Hours"
330,2005 Cat 385B L Tracked Excavator,"US $22,000","24,268 Hours"
331,2015 Cat 302.7D CR Mini Excavator,"US $14,000","5,811 Hours"
332,2015 Cat 302.7D CR Mini Excavator,"US $13,500","4,987 Hours"
333,2008 Cat 330D L Tracked Excavator,"US $12,600",NONE
334,2005 Cat 325CL Tracked Excavator,"US $27,600","15,935 Hours"
335,2006 Cat 330DL Tracked Excavator,"US $27,500","1,332 Hours"
336,2007 Cat 330DL Tracked Excavator,"US $49,000","10,134 Hours"
337,2013 Cat 320E LRR Tracked Excavator,"US $58,000","12,364 Hours"
338,2014 Cat 320EL Tracked Excavator,"US $70,000","11,710 Hours"
339,1997 Cat 325B L Tracked Excavator,"US $14,500","18,066 Hours"
340,2017 Cat 303E CR Mini Excavator,"US $26,000","4,200 Hours"
341,2005 Cat 330C Tracked Excavator,"US $23,000",NONE
342,2011 Cat 349E Tracked Excavator,"US $62,000","13,516 Hours"
343,2015 Cat 336F Track Excavator,"US $60,000","10,673 Hours"
344,1992 Cat EL200B Tracked Excavator,"US $12,500","80,724 Hours"
345,2011 Cat 349EL Tracked Excavator,"US $80,000","9,485 Hours"
346,2015 Cat 336FL Tracked Excavator,"US $86,000","8,851 Hours"
347,2008 Cat 345CL Tracked Excavator,"US $21,000",NONE
348,2016 Cat 313FLGC Tracked Excavator,"US $60,000","5,046 Hours"
349,1994 Cat 312 Tracked Excavator,"US $27,500","23,293 Hours"
350,2017 Cat 303E CR Mini Excavator,"US $26,000",NONE
351,2012 Cat 320E Tracked Excavator,"US $45,000","8,889 Hours"
352,2007 Cat 325D L Long Reach Tracked Excavator,"US $77,000","2,173 Hours"
353,2006 Cat 330C Tracked Excavator,"US $23,500","17,755 Hours"
354,2015 Cat 349FL Tracked Excavator,"US $81,000","10,863 Hours"
355,2013 Cat 312EL Tracked Excavator,"US $77,500","2,570 Hours"
356,2007 Cat 345CL Tracked Excavator,"US $17,500","14,724 Hours"
357,2011 Cat 336 EL Tracked Excavator,"US $57,000","13,537 Hours"
358,2007 Cat 330D Tracked Excavator,"US $22,500","21,465 Hours"
359,2012 Cat M318D Wheel Excavator,"US $23,000",NONE
360,2012 Cat 308E Mini Excavator,"US $51,000","4,744 Hours"
361,1988 Cat 225B Tracked Excavator,"US $13,000","16,347 Hours"
362,2005 Cat 345B L Tracked Excavator,"US $17,000","18,083 Hours"
363,2012 Cat 320DL Tracked Excavator,"US $56,700","12,777 Hours"
364,2016 Cat 303.5E2CR Mini Excavator,"US $8,000",NONE
365,2000 Cat 320BL Tracked Excavator,"US $24,700","26,130 Hours"
366,2000 Cat 345B Tracked Excavator,"US $28,000","11,000 Hours"
367,2013 Cat 303.5ECR Mini Excavator,"US $36,250",319 Hours
368,2014 Cat 321D LCR Tracked Excavator,"US $75,000","3,747 Hours"
369,2012 Cat 336EL Tracked Excavator,"US $46,000",NONE
370,2011 Cat 345DL Tracked Excavator,"US $71,000","8,814 Hours"
371,2006 Cat 385C Tracked Excavator,"US $90,000","18,534 Hours"
372,2017 Cat 300.9D Mini Excavator,"US $16,000",876 Hours
373,2011 Cat 329DL Tracked Excavator,"US $57,000","4,229 Hours"
374,2007 Cat 328D Tracked Excavator,"US $76,000","8,466 Hours"
375,2015 Cat 300.9D VPS Mini Excavator,"US $15,000",805 Hours
376,2008 Cat 305C CR Mini Excavator,"US $30,000",NONE
